title,author,length
Sick Wicked Love,"Rachel Jonas,Nikki Thorne",Length: 8 hrs and 20 mins
"Mushoku Tensei: Jobless Reincarnation, Vol. 13",理不尽な孫の手,Length: 9 hrs and 8 mins
Aprender Inglés Nivel Intermedio y Avanzado [Learn English Intermediate and Advanced Level],Tango Languages Publishing,Length: 20 hrs and 13 mins
Tempting Promises,Corinne Michaels,Length: 9 hrs and 32 mins
Rail-Laid Plans,Daniel Schinhofen,Length: 11 hrs and 15 mins
The Almost Romantic,Lauren Blakely,Length: 8 hrs and 7 mins
Death's End,"Cixin Liu,Ken Liu - translator",Length: 28 hrs and 51 mins
A Ruse of Shadows,Sherry Thomas,Length: 13 hrs
Wolves of Winter,R. Allen Chappell,Length: 6 hrs and 18 mins
Love Life,Matthew Hussey,Length: 11 hrs
Off the Hook,Julie Olivia,Length: 12 hrs and 22 mins
The Perfect 10,Dave Liniger,Length: 17 hrs and 22 mins
Mother Hater,Daphne Elliot,Length: 9 hrs and 7 mins
To Kill a King,David Gilman,Length: 14 hrs and 31 mins
Trick Play,Veronica Eden,Length: 4 hrs and 5 mins
All the Skills 3: A Deck-Building LitRPG,Honour Rae,Length: 15 hrs and 22 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
A Death in Cornwall,Daniel Silva,Length: 12 hrs
The Deadly Path,"Peter J. Forcelli,Keelin MacGregor",Length: 9 hrs and 4 mins
Far from the Tree,Jeannie Peneaux,Length: 12 hrs and 53 mins
God Emperor of Dune,Frank Herbert,Length: 15 hrs and 48 mins
Solo Command: Star Wars Legends (X-Wing),Aaron Allston,Length: 14 hrs
Mother Faker,Brittanee Nicole,Length: 10 hrs and 13 mins
The Power of Commercial REIT Investing,Miles Bird,Length: 4 hrs and 51 mins
The Surrogate,Penelope Ward,Length: 9 hrs and 52 mins
Falling Empires,"James Rosone,Miranda Watson",Length: 60 hrs and 16 mins
Star Wars: The Living Force,John Jackson Miller,Length: 16 hrs and 11 mins
The Chaos Agent,Mark Greaney,Length: 17 hrs and 34 mins
Olivetti,Allie Millington,Length: 4 hrs and 33 mins
The Endarkened,Franklin Horton,Length: 9 hrs and 42 mins
"Shōgun, Part One",James Clavell,Length: 24 hrs and 18 mins
31 Prayers For My Future Husband,"Jennifer Smith,Aaron Smith",Length: 1 hr and 12 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Death at the Dog Show,Peter Boland,Length: 10 hrs and 59 mins
Foundations of Glass,"J.N. Chaney,Terry Maggert",Length: 13 hrs and 15 mins
Casino Royale,Ian Fleming,Length: 5 hrs and 44 mins
The New Rules of Attachment,Dr. Judy Ho,Length: 10 hrs and 50 mins
Crown,Nicoli Gonnella,Length: 22 hrs and 6 mins
Get Better at Anything,Scott H. Young,Length: 7 hrs and 42 mins
The Joy of the In-Between,Ashley Hetherington,Length: 5 hrs and 37 mins
Sherlock Holmes,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 62 hrs and 52 mins
The #1 Lawyer,"James Patterson,Nancy Allen",Length: 13 hrs
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
Expiration Dates,Rebecca Serle,Length: 6 hrs and 54 mins
All the World Beside,Garrard Conley,Length: 9 hrs and 34 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
The Power of Going All-In,Brandon Bornancin,Length: 5 hrs and 37 mins
This Time Around,Kay Shanee,Length: 8 hrs and 21 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Throne of Sails,Levi Werner,Length: 13 hrs and 19 mins
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Length: 12 hrs
A Mind Full of Murder,Derek Landy,Length: 11 hrs and 19 mins
The Omega Thief,Victoria Sue,Length: 8 hrs and 44 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Tooth and Nail,Patricia Logan,Length: 10 hrs and 8 mins
Countdown,Sean Oswald,Length: 16 hrs and 40 mins
Against All Odds,C.W. Farnsworth,Length: 10 hrs and 8 mins
Turn It Up!,Tom Werman,Length: 8 hrs and 38 mins
I'm Starting to Worry About This Black Box of Doom,Jason Pargin,Length: 12 hrs and 21 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
Da Big Dakka,Mike Brooks,Length: 9 hrs and 25 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
The Spy Coast,Tess Gerritsen,Length: 10 hrs and 23 mins
Funny Story,Emily Henry,Length: 11 hrs and 23 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
The Boyfriend Subscription,Steven Salvatore,Length: 8 hrs and 20 mins
In the Shadow of Victory,J.E. Leak,Length: 9 hrs and 52 mins
Reborn as a Demonic Tree 2,XKarnation,Length: 13 hrs and 15 mins
Chasing Wild,Kristen Proby,Length: Not Yet Known
Hate Machine,Stephen Blackmoore,Length: 8 hrs and 35 mins
Slayers: A Buffyverse Story,"Christopher Golden,Amber Benson",Length: 8 hrs and 2 mins
"Mushoku Tensei: Jobless Reincarnation, Vol. 12",Rifujin na Magonote,Length: 8 hrs and 26 mins
Strong Passions,Barbara Weisberg,Length: 8 hrs and 52 mins
A Great Country,Shilpi Somaya Gowda,Length: 8 hrs and 9 mins
